Provinsi,RSU,RSK,Jumlah
Aceh,67,3,70
Sumatera Utara,190,26,216
Sumatera Barat,47,27,74
Riau,59,14,73
Jambi,36,4,40
Sumatera Selatan,56,16,72
Bengkulu,21,2,23
Lampung,53,23,76
Kepulauan Bangka Belitung,18,3,21
Kepulauan Riau,26,7,33
DKI Jakarta,141,60,201
Jawa Barat,282,65,347
Jawa Tengah,242,46,288
DI Yogyakarta,58,24,82
Jawa Timur,287,92,379
Banten,74,37,111
Bali,55,8,63
Nusa Tenggara Barat,31,5,36
Nusa Tenggara Timur,46,4,50
Kalimantan Barat,39,9,48
Kalimantan Tengah,22,1,23
Kalimantan Selatan,34,9,43
Kalimantan Timur,41,12,53
Kalimantan Utara,10,-,10
Sulawesi Utara,40,6,46
Sulawesi Tengah,29,5,34
Sulawesi Selatan,73,32,105
Sulawesi Tenggara,32,2,34
Gorontalo,12,1,13
Sulawesi Barat,11,1,12
Maluku,28,1,29
Maluku Utara,19,1,20
Papua,42,1,43
Papua Barat,18,-,18
